Applicable Material,Brand Contact,Base,Brand,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Mounting,Packing Type,Power,Price,Room,Scent,Series,Shape,SKU,Style,Thickness,UPC,Warranty,Weight,Width,Product Type
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.58 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853.17 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 70,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.76 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 72,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.72 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.90 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935.50 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.74 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.27 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.86 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 76,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.46 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 76,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.05 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 77,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.64 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 77,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.68 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 77,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.23 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 78,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.85 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 79,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.19 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 80,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.78 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.56 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.15 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.74 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.62 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007.34 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.52 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 84,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.70 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.30 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.89 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 86,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.48 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 86,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.07 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 87,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,089.66 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 87,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.46 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 87,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.26 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 87,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996.85 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 88,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.44 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 90,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.81 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 90,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.40 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 91,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.99 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 91,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.58 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,079.18 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.36 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 93,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.95 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 94,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.14 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 94,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.73 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 96,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.50 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,068.69 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.28 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.87 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 99,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.65 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 99,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.24 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 102,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,058.20 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 102,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.79 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 102,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.38 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 102,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.92 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 103,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.98 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 103,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.57 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 104,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.16 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 104,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.75 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 105,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 105,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.34 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 105,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.94 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 107,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047.71 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 107,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.30 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 107,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.03 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 107,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.90 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 108,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.49 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 108,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.08 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 108,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961.87 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 110,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.86 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 110,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.45 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 111,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.04 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 111,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.63 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 112,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.82 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 113,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 113,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.59 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 114,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.18 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 114,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.81 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 115,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.37 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 115,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.96 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 117,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.33 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 117,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.92 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 118,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.51 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 119,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.70 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 119,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.29 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 120,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.88 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 120,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.47 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 121,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.06 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 121,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.66 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 122,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016.25 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 123,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.02 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 123,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.62 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 124,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.80 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 125,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.39 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 126,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 126,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,098.58 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 127,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005.76 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 127,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.35 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 127,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.94 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 128,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.54 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 128,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.13 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 129,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.72 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 130,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.90 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 130,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.50 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 131,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,088.09 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 131,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995.27 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 132,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.86 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 133,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.64 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 134,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.23 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 135,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.42 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 136,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,077.60 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 136,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.78 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 137,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.97 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 138,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.56 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 139,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.34 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 140,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.52 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 142,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.89 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 142,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881.48 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 144,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.26 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 145,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.44 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 145,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.03 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 146,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,056.62 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 146,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.22 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 147,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.40 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 148,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.58 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 148,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.18 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 149,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.77 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 149,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.36 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 150,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.54 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 151,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.32 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 152,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.91 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 153,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.10 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 153,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.69 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 154,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.28 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 155,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.06 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 156,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.24 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 158,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.13 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 158,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.60 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 159,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.79 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 160,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.57 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 161,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,025.16 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 161,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029.70 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 161,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.75 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 161,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.34 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 162,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.94 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 163,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.12 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 163,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.71 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 164,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.90 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 165,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.49 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 165,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.08 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 166,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.86 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 167,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.45 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 167,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.04 g,,
